Label,Classification,Probability,TAS as VOL,SiO2(wt%),K2O(wt%),Na2O(wt%),Color,Marker
[19]-B,Adakite,0.866,Andesite,59.67,3.26,2.97,[1.         0.58778525 0.30901699 1.        ],h
[20]-A,Basalt,0.888,Basalt,49.15,1.38,2.59,[1.         0.30315267 0.15339165 1.        ],H
[20]-B,Tholeiite,0.971,Basalt,50.4,0.5,2.38,[1.0000000e+00 1.2246468e-16 6.1232340e-17 1.0000000e+00],D
[20]-A,Tephrite,0.948,Basalt,45.62,1.37,2.46,[1.         0.30315267 0.15339165 1.        ],H
[20]-A,Oceanite,0.946,Basalt,46.84,1.06,1.87,[1.         0.30315267 0.15339165 1.        ],H
[20]-A,Basalt,0.978,Basalt,49.73,0.81,2.85,[1.         0.30315267 0.15339165 1.        ],H
[20]-B,Basalt,0.943,Basalt,49.4,0.77,2.34,[1.0000000e+00 1.2246468e-16 6.1232340e-17 1.0000000e+00],D
[20]-B,Picrite,0.75,Basalt,49.6,0.39,1.92,[1.0000000e+00 1.2246468e-16 6.1232340e-17 1.0000000e+00],D
[20]-A,Picrite,0.755,Basalt,47.52,0.71,2.22,[1.         0.30315267 0.15339165 1.        ],H
[20]-A,Lamproite,0.775,Basalt,47.44,0.73,2.29,[1.         0.30315267 0.15339165 1.        ],H
[20]-A,Oceanite,0.911,Basalt,46.88,0.48,2.63,[1.         0.30315267 0.15339165 1.        ],H
[20]-A,Basalt,0.784,Basalt,48.24,1.04,2.43,[1.         0.30315267 0.15339165 1.        ],H
[20]-A,Picrite,0.904,Basalt,48.17,0.72,1.88,[1.         0.30315267 0.15339165 1.        ],H
[20]-A,Basalt,0.966,Basalt,50.93,0.84,2.75,[1.         0.30315267 0.15339165 1.        ],H
[20]-A,Komatiite,1.0,Basalt,48.28,0.04,1.92,[1.         0.30315267 0.15339165 1.        ],H
[19]-B,Hawaiite,0.82,Basalt,48.66,1.57,3.14,[1.         0.58778525 0.30901699 1.        ],h
[20]-A,Picrite,0.888,Basalt,47.89,0.69,1.96,[1.         0.30315267 0.15339165 1.        ],H
[20]-A,Lamproite,1.0,Basalt,46.24,1.89,1.3,[1.         0.30315267 0.15339165 1.        ],H
[20]-B,Tholeiite,1.0,Basalt,50.8,0.69,2.3,[1.0000000e+00 1.2246468e-16 6.1232340e-17 1.0000000e+00],D
[20]-A,Boninite,1.0,Basalt,51.93,1.15,2.54,[1.         0.30315267 0.15339165 1.        ],H
[20]-B,Basalt,0.821,Basalt,49.6,0.47,2.04,[1.0000000e+00 1.2246468e-16 6.1232340e-17 1.0000000e+00],D
[20]-B,Basalt,0.83,Basalt,48.5,1.16,2.61,[1.0000000e+00 1.2246468e-16 6.1232340e-17 1.0000000e+00],D
[20]-A,Basalt,0.734,Basalt,47.92,0.71,3.04,[1.         0.30315267 0.15339165 1.        ],H
[20]-A,Basalt,1.0,Basalt,50.56,0.77,2.44,[1.         0.30315267 0.15339165 1.        ],H
[20]-B,Tholeiite,0.828,Basalt,49.9,0.4,1.99,[1.0000000e+00 1.2246468e-16 6.1232340e-17 1.0000000e+00],D
[20]-B,Tholeiite,0.884,Basalt,50.0,0.45,2.13,[1.0000000e+00 1.2246468e-16 6.1232340e-17 1.0000000e+00],D
[20]-A,Picrite,0.88,Basalt,47.35,0.69,1.93,[1.         0.30315267 0.15339165 1.        ],H
[20]-A,Andesite_basaltic,1.0,Basaltic Andesite,54.77,1.91,2.57,[1.         0.30315267 0.15339165 1.        ],H
[19]-B,Andesite,0.928,Basaltic Andesite,55.72,1.8,3.5,[1.         0.58778525 0.30901699 1.        ],h
[19]-B,Andesite,1.0,Basaltic Andesite,56.13,1.16,3.93,[1.         0.58778525 0.30901699 1.        ],h
[19]-B,Trachyandesite,0.933,Basaltic Trachyandesite,53.8,3.05,3.35,[1.         0.58778525 0.30901699 1.        ],h
[19]-B,Trachyandesite,0.816,Basaltic Trachyandesite,53.78,1.95,3.92,[1.         0.58778525 0.30901699 1.        ],h
[19]-B,Trachyandesite,0.833,Basaltic Trachyandesite,54.53,2.07,3.86,[1.         0.58778525 0.30901699 1.        ],h
[19]-B,Trachyandesite,0.954,Basaltic Trachyandesite,54.97,2.57,3.8,[1.         0.58778525 0.30901699 1.        ],h
[19]-B,Shoshonite,0.83,Basaltic Trachyandesite,53.64,2.34,3.56,[1.         0.58778525 0.30901699 1.        ],h
[19]-B,Shoshonite,0.742,Basaltic Trachyandesite,52.46,2.15,3.3,[1.         0.58778525 0.30901699 1.        ],h
[19]-B,Trachyandesite,0.963,Basaltic Trachyandesite,54.38,2.65,4.33,[1.         0.58778525 0.30901699 1.        ],h
[19]-B,Trachyandesite,1.0,Basaltic Trachyandesite,55.13,2.91,3.9,[1.         0.58778525 0.30901699 1.        ],h
[19]-B,Trachyandesite,0.97,Basaltic Trachyandesite,54.6,2.41,4.13,[1.         0.58778525 0.30901699 1.        ],h
[19]-B,Mugearite,1.0,Basaltic Trachyandesite,51.76,3.13,4.15,[1.         0.58778525 0.30901699 1.        ],h
[19]-B,Shoshonite,0.979,Basaltic Trachyandesite,53.01,2.4,3.94,[1.         0.58778525 0.30901699 1.        ],h
[19]-B,Shoshonite,0.68,Basaltic Trachyandesite,52.25,1.7,3.59,[1.         0.58778525 0.30901699 1.        ],h
[5],Adakite,0.995,Dacite,69.56,2.95,3.7,[0.1        0.58778525 0.95105652 1.        ],^
[5],Adakite,1.0,Dacite,69.36,3.29,3.44,[0.1        0.58778525 0.95105652 1.        ],^
[7],Boninite,0.19,Dacite,70.79,3.24,0.29,[0.3        0.95105652 0.80901699 1.        ],>
[7],Boninite,0.407,Dacite,65.3,3.24,0.33,[0.3        0.95105652 0.80901699 1.        ],>
[5],Adakite,0.962,Dacite,69.47,3.03,3.79,[0.1        0.58778525 0.95105652 1.        ],^
[7],Boninite,0.4,Dacite,68.87,3.04,0.24,[0.3        0.95105652 0.80901699 1.        ],>
[7],Boninite,0.343,Dacite,65.5,3.92,0.2,[0.3        0.95105652 0.80901699 1.        ],>
[6],Dacite,1.0,Dacite,66.08,3.65,3.7,[0.09607843 0.80538092 0.89240058 1.        ],<
[7],Boninite,0.316,Dacite,66.22,3.27,0.34,[0.3        0.95105652 0.80901699 1.        ],>
[3],Trachydacite,0.868,Dacite,67.42,4.12,3.57,[0.5 0.  1.  1. ],o
[3],Dacite,0.868,Dacite,66.88,4.08,3.53,[0.5 0.  1.  1. ],o
[5],Rhyodacite,1.0,Dacite,69.8,3.35,3.83,[0.1        0.58778525 0.95105652 1.        ],^
[6],Trachydacite,0.857,Dacite,66.92,3.9,3.74,[0.09607843 0.80538092 0.89240058 1.        ],<
[3],Dacite,0.902,Dacite,66.79,3.92,3.61,[0.5 0.  1.  1. ],o
[4],Adakite,0.88,Dacite,68.24,2.69,4.33,[0.30392157 0.30315267 0.98816547 1.        ],v
[19]-A,Trachydacite,0.792,Dacite,67.98,3.85,3.82,[0.90392157 0.80538092 0.45124406 1.        ],*
[3],Trachydacite,0.847,Dacite,67.52,4.19,3.47,[0.5 0.  1.  1. ],o
[5],Adakite,0.979,Dacite,68.86,3.1,3.73,[0.1        0.58778525 0.95105652 1.        ],^
[5],Adakite,0.946,Dacite,69.66,3.01,3.76,[0.1        0.58778525 0.95105652 1.        ],^
[4],Trachydacite,0.773,Dacite,67.99,4.56,3.07,[0.30392157 0.30315267 0.98816547 1.        ],v
